county,state,weightedSentimentOfTweets,won,percentOfTweets
Major,Oklahoma,1.1000,y,2500.00
Montgomery,Texas,24.9000,y,73.05
San Juan,New Mexico,-2.8000,y,2500.00
Hopkins,Kentucky,1.6000,y,1600.00
Hancock,Illinois,2.1000,y,0.00
Woodbury,Iowa,-76.3000,y,88.89
Ascension,Louisiana,0.0000,y,3333.33
Clear Creek,Colorado,0.0000,n,10000.00
Powell,Kentucky,2.6000,y,0.00
Routt,Colorado,1.6000,n,408.16
San Diego,California,1617.5000,n,1.04
Washington,Vermont,24.3000,n,77.85
Livingston,Michigan,-1.0000,y,0.00
Washington,Oregon,55.4000,n,22.63
Rutherford,North Carolina,10.9000,y,75.61
Barry,Missouri,0.0000,y,10000.00
Oconee,South Carolina,4.8000,y,242.21
Ashland,Wisconsin,11.6000,n,27.70
St. Francis,Arkansas,1.6000,n,0.00
Northampton,Pennsylvania,9.8000,n,351.56
Rockwall,Texas,-0.1000,y,154.58
Marion,Iowa,1.0000,y,0.00
Windsor,Vermont,1.0000,n,0.00
Crawford,Illinois,0.0000,y,10000.00
Bartow,Georgia,0.6000,y,355.03
Belmont,Ohio,3.0000,y,0.00
Seward,Kansas,0.2000,y,0.00
Morgan,Tennessee,1.8000,y,0.00
St. Lawrence,New York,24.1000,y,800.00
Haywood,North Carolina,1.0000,y,0.00
Fremont,Iowa,28.0000,y,22.22
Johnson,Kansas,42.0000,n,69.43
Clark,Washington,4.6000,n,25.51
Warren,Iowa,1.1000,y,0.00
Isabella,Michigan,1026.3000,y,1.78
Butte,California,29.4000,n,44.44
Wayne,New York,13.7000,y,30.76
Choctaw,Alabama,1.2000,y,1875.00
Northumberland,Pennsylvania,-1.7000,y,0.00
Bronx,New York,174.4000,n,7.48
Teton,Wyoming,0.0000,n,532.54
Berrien,Michigan,2.6000,y,555.56
Ketchikan Gateway,Alaska,2.0000,y,1200.00
Cochise,Arizona,9.5000,y,68.03
Fluvanna,Virginia,1.0000,y,0.00
Flathead,Montana,13.1000,y,153.06
El Paso,Texas,74.0000,n,19.12
Waukesha,Wisconsin,7.4000,y,183.26
Berks,Pennsylvania,2.1000,y,400.00
Ramsey,Minnesota,35.7000,n,35.20
Dane,Wisconsin,157.5000,n,11.56
Muskegon,Michigan,1.0000,n,2222.22
Walton,Georgia,2.3000,y,1200.00
Jefferson,Missouri,1.0000,y,694.44
Stone,Arkansas,0.0000,y,3333.33
Franklin,Tennessee,4.9000,y,2500.00
Erie,Ohio,16.8000,y,94.06
Fayette,Georgia,7.6000,y,138.89
Calhoun,Michigan,3.1000,y,318.88
Catawba,North Carolina,0.7000,y,204.08
Carroll,New Hampshire,1.1000,y,0.00
Moniteau,Missouri,455.4000,y,3.65
Coryell,Texas,1.0000,y,816.33
Bonner,Idaho,0.0000,y,1250.00
Monroe,Georgia,2.2000,y,0.00
Stephenson,Illinois,-1.0000,y,800.00
Prairie,Arkansas,1.0000,y,0.00
Douglas,Oregon,0.0000,y,2000.00
Lake,Ohio,0.0000,y,2500.00
Etowah,Alabama,-2.2000,y,416.67
Lafayette,Florida,1368.9000,y,0.28
Lee,Alabama,45.0000,y,34.44
Burleigh,North Dakota,0.0000,y,3333.33
Davidson,North Carolina,1.1000,y,625.00
Orange,California,520.1000,n,2.82
Lynchburg City,Virginia,-0.7000,n,31.83
Yancey,North Carolina,-1.1000,y,533.33
Jackson,North Carolina,0.0000,y,2500.00
Klamath,Oregon,1.1000,y,0.00
Los Angeles,California,24135.9000,n,0.22
Summit,Ohio,62.2000,n,26.57
Hudson,New Jersey,162.6000,n,11.16
Montgomery,Alabama,4.3000,n,225.69
Dauphin,Pennsylvania,399.5000,n,20.10
Val Verde,Texas,2.0000,y,0.00
Geauga,Ohio,1.0000,y,0.00
Hennepin,Minnesota,444.2000,n,3.38
Ellis,Texas,-14.4000,y,28.84
Marshall,Tennessee,0.0000,y,10000.00
Apache,Arizona,-1.1000,n,2222.22
Jefferson,Wisconsin,0.0000,y,5000.00
Crosby,Texas,0.0000,y,5000.00
Young,Texas,1.1000,y,0.00
Cleveland,Oklahoma,406.5000,y,4.51
Winchester City,Virginia,1.0000,n,2500.00
Contra Costa,California,25.8000,n,19.53
Garland,Arkansas,1.6000,y,300.00
Grand Forks,North Dakota,36.7000,y,22.68
Somerset,Pennsylvania,1.0000,y,1224.49
Liberty,Georgia,3.1000,n,833.33
Jackson,Mississippi,1.5000,y,390.62
Isle of Wight,Virginia,0.0000,y,10000.00
Richland,Ohio,30.5000,y,89.80
Saline,Nebraska,12.6000,y,97.78
Tazewell,Virginia,1.0000,y,2222.22
Aiken,South Carolina,7.0000,y,300.00
Loudoun,Virginia,50.6000,n,40.37
Taylor,Texas,40.3000,y,255.10
Clearfield,Pennsylvania,16.6000,y,0.00
Moore,North Carolina,4.0000,y,370.37
Livingston,Illinois,0.0000,y,10000.00
San Francisco,California,2600.2000,n,0.76
Franklin,Ohio,343.7000,n,3.92
Camden,New Jersey,65.0000,n,14.89
James City,Virginia,17.6000,n,49.31
Broomfield,Colorado,0.4000,n,390.62
Gillespie,Texas,0.0000,y,3333.33
Richland,Wisconsin,4.7000,y,0.00
Buncombe,North Carolina,121.7000,n,22.50
Fairfax,Virginia,23.1000,n,67.57
Tinian,Commonwealth of the Northern M,0.0000,y,10000.00
Guilford,North Carolina,733.5000,n,55.55
Jessamine,Kentucky,3.2000,y,0.00
Cass,North Dakota,10.5000,y,128.40
Mendocino,California,12.4000,n,83.10
Jefferson,Montana,0.0000,y,10000.00
Fairfield,Connecticut,842.4000,n,18.82
Fresno,California,247.4000,n,10.47
Boone,Indiana,5.0000,y,260.42
Red Lake,Minnesota,1.0000,y,0.00
Durham,North Carolina,50.1000,n,46.18
Athens,Ohio,8.5000,n,1250.00
Greene,Indiana,3.1000,y,0.00
Riverside,California,277.1000,n,4.81
Alachua,Florida,60.2000,n,23.81
Delaware,Indiana,6.0000,y,151.23
Scotts Bluff,Nebraska,3.4000,y,816.33
Parker,Texas,5.0000,y,500.00
Kent,Michigan,45.4000,n,33.33
Yavapai,Arizona,1614.0000,y,2.66
Conway,Arkansas,21.1000,y,69.25
Kaufman,Texas,1.0000,y,1224.49
Yabucoa,Puerto Rico,9.1000,y,355.03
Washington,Colorado,24.3000,y,25.95
Culpeper,Virginia,-1.0000,y,0.00
Hillsborough,Florida,945.4000,n,2.72
Hays,Texas,8.0000,n,129.80
Kern,California,0.4000,y,20.35
Green,Wisconsin,4.0000,n,555.56
Lawrence,Pennsylvania,9.7000,y,355.03
Rapides,Louisiana,2.0000,y,612.24
San Juan,Washington,2.1000,n,204.08
Yuma,Arizona,26.9000,y,103.88
Decatur,Iowa,2.0000,y,1111.11
Atoka,Oklahoma,3.0000,y,800.00
Madera,California,5.6000,y,96.00
Wheeler,Texas,1.1000,y,0.00
Randall,Texas,1.2000,y,2500.00
Rockdale,Georgia,3.1000,n,816.33
Denver,Colorado,557.0000,n,1.82
Lake,Florida,13.3000,y,70.89
Hamilton,Indiana,9.4000,y,256.00
Cedar,Iowa,3.9000,y,311.11
Ringgold,Iowa,0.0000,y,133.33
Des Moines,Iowa,-1.0000,y,0.00
Washtenaw,Michigan,60.0000,n,22.35
Neosho,Kansas,2.9000,y,308.64
Sonoma,California,96.6000,n,14.68
Oxford,Maine,-1.2000,y,0.00
Chelan,Washington,100.3000,y,5.91
Franklin,Massachusetts,0.0000,n,10000.00
Miller,Missouri,6.1000,y,0.00
Bremer,Iowa,0.0000,y,10000.00
Montmorency,Michigan,0.0000,y,2000.00
Nash,North Carolina,1.1000,n,710.06
Lane,Oregon,28.1000,n,48.48
Hall,Nebraska,16.7000,y,63.78
Wayne,Pennsylvania,0.0000,y,10000.00
St. Louis City,Missouri,571.5000,n,3.10
Rogers,Oklahoma,1.0000,y,0.00
Webb,Texas,6.2000,n,308.64
Culebra,Puerto Rico,1.0000,y,0.00
Roseau,Minnesota,0.0000,y,10000.00
Stark,Ohio,11.3000,y,160.00
Lee,North Carolina,-2.0000,y,1250.00
Middlesex,Massachusetts,503.7000,y,9.29
Lander,Nevada,277.0000,y,6.85
Richmond City,Virginia,307.4000,n,6.93
Lycoming,Pennsylvania,46.5000,y,28.41
Gilmer,Georgia,20.0000,y,41.32
Ozark,Missouri,2.9000,y,300.00
Coffee,Tennessee,0.2000,y,1111.11
Morrison,Minnesota,353.5000,y,3.63
Jefferson,Colorado,29.6000,n,36.22
Clay,Illinois,2.0000,y,800.00
Sussex,Virginia,2.2000,n,0.00
Emanuel,Georgia,0.0000,y,10000.00
Huntington,Indiana,2.0000,y,0.00
Knox,Maine,0.6000,y,1250.00
Norfolk City,Virginia,4.5000,n,625.00
Jersey,Illinois,0.0000,y,10000.00
Idaho,Idaho,4.1000,y,206.25
Maury,Tennessee,3.0000,y,781.25
Douglas,Illinois,0.0000,y,5000.00
Allegany,New York,1.0000,y,0.00
Campbell,Kentucky,9.1000,y,195.31
Brule,South Dakota,0.0000,y,0.00
Lamb,Texas,1916.0000,y,0.93
Orange,Florida,700.8000,n,2.59
Richmond,Georgia,41.2000,n,42.10
Charlottesville City,Virginia,37.9000,n,65.10
Scott,Iowa,36.0000,n,55.66
Gloucester,New Jersey,2.4000,n,1388.89
Mobile,Alabama,258.8000,y,19.35
Pulaski,Arkansas,32.8000,n,73.24
Crow Wing,Minnesota,10.8000,y,48.48
Westmoreland,Virginia,1.0000,y,0.00
Fannin,Texas,2.0000,y,0.00
Racine,Wisconsin,2.0000,y,612.24
Wood,Wisconsin,1.3000,y,2500.00
Jackson,Missouri,305.6000,n,6.80
Johnson,Missouri,5.2000,y,612.24
Charleston,South Carolina,11.8000,n,15.19
Erath,Texas,2.9000,y,288.00
Dunklin,Missouri,1.0000,y,2500.00
Scott,Virginia,-1.0000,y,0.00
Chambers,Alabama,0.0000,y,10000.00
St. Clair,Illinois,0.0000,n,10000.00
Albany,Wyoming,14.1000,n,83.10
Van Buren,Michigan,0.0000,y,3333.33
Kearney,Nebraska,4.0000,y,312.50
Cass,Iowa,1.0000,y,2500.00
Harris,Texas,1896.5000,n,0.98
Suffolk,New York,329.7000,y,5.05
Jeff Davis,Texas,3.1000,y,0.00
Dunn,Wisconsin,0.0000,y,10000.00
Berrien,Georgia,7.2000,y,156.25
Tulare,California,6674.8000,y,0.30
Bossier,Louisiana,5.8000,y,244.14
Carbon,Pennsylvania,56.3000,y,0.00
Cecil,Maryland,3.0000,y,625.00
Frederick,Maryland,-66.0000,n,62.50
Olmsted,Minnesota,0.0000,n,10000.00
Lyon,Iowa,0.0000,y,3333.33
Horry,South Carolina,54.3000,y,35.88
Mercer,West Virginia,13.9000,y,311.11
Grant,Kentucky,-1.6000,y,1875.00
Cerro Gordo,Iowa,0.0000,y,10000.00
Franklin,Texas,1.3000,y,0.00
Sullivan,New York,0.0000,y,555.56
Whitley,Kentucky,0.0000,y,10000.00
Snohomish,Washington,21.7000,n,67.27
Union,North Carolina,2.0000,y,600.00
Jefferson,Alabama,24.5000,n,77.56
Mariposa,California,15.0000,y,160.59
Bay,Florida,41.6000,y,37.20
Bolivar,Mississippi,-1.0000,n,800.00
Inyo,California,141.3000,n,0.00
Prince Edward,Virginia,598.2000,n,2.24
Mecosta,Michigan,-0.7000,y,69.44
